 (m)      (n)       Wavelength(W)
 42        5         23122.70312
 42        6         33508.64844
 42        7         45954.71875
 42        8         60552.10156
 42        9         77410.35938
 42       10         96659.56250
 42       11        118452.97656
 42       12        142970.23438
 42       13        170421.42188
 42       14        201051.89062
 42       15        235148.42188
 42       16        273046.59375
 42       17        315140.34375
 42       18        361893.40625
 42       19        413854.50000
 42       20        471676.00000
 42       21        536138.37500
 42       22        608182.00000
 42       23        688948.68750
 42       24        779837.68750
 42       25        882580.75000
 42       26        999346.18750
 42       27       1132883.75000
 42       28       1286732.12500
 42       29       1465522.37500
 42       30       1675432.50000
 42       31       1924890.37500
 42       32       2225698.75000
 42       33       2594909.75000
 42       34       3058105.25000
 42       35       3655489.00000
 42       36       4454073.00000
 42       37       5574482.00000
 42       38       7257973.50000
 42       39      10067488.00000
 42       40      15691855.00000
 42       41      32575252.00000
 43        1           912.29340
 43        2          3655.10718
 43        3          8246.33887
 43        4         14716.14355
 43        5         23107.43164
 43        6         33476.58984
 43        7         45894.43750
 43        8         60447.48828
 43        9         77239.46094
 43       10         96393.26562
 43       11        118053.29688
 43       12        142388.39062
 43       13        169595.34375
 43       14        199903.18750
 43       15        233578.56250
 43       16        270932.25000
 43       17        312327.15625
 43       18        358188.53125
 43       19        409016.43750
 43       20        465401.84375
 43       21        528046.81250
 43       22        597790.75000
 43       23        675644.50000
 43       24        762834.93750
 43       25        860865.06250
 43       26        971594.81250
 43       27       1097352.12500
 43       28       1241089.00000
 43       29       1406604.37500
 43       30       1598868.62500
 43       31       1824512.75000
 43       32       2092582.12500
 43       33       2415743.25000
 43       34       2812296.50000
 43       35       3309695.25000
 43       36       3951085.00000
 43       37       4808379.00000
 43       38       6011027.00000
 43       39       7817931.50000
 43       40      10833209.00000
 43       41      16869218.00000
 43       42      34987760.00000
 44        1           912.27118
 44        2          3654.75098
 44        3          8244.52637
 44        4         14710.37305
 44        5         23093.20703
 44        6         33446.74219
 44        7         45838.36328
 44        8         60350.25000
 44        9         77080.76562
 44       10         96146.22656
 44       11        117682.98438
 44       12        141850.03125
 44       13        168832.12500
 44       14        198843.67188
 44       15        232133.29688
 44       16        268989.68750
 44       17        309748.46875
 44       18        354801.06250
 44       19        404605.31250
 44       20        459699.15625
 44       21        520717.68750
 44       22        588414.93750
 44       23        663691.87500
 44       24        747633.06250
 44       25        841554.50000
 44       26        947067.81250
 44       27       1066166.87500
 44       28       1201347.12500
 44       29       1355772.50000
 44       30       1533513.75000
 44       31       1739897.62500
 44       32       1982029.25000
 44       33       2269600.50000
 44       34       2616183.25000
 44       35       3041385.25000
 44       36       3574620.75000
 44       37       4262116.50000
 44       38       5180921.50000
 44       39       6469728.50000
 44       40       8405928.00000
 44       41      11636770.00000
 44       42      18104022.00000
 44       43      37516524.00000
 45        1           912.25049
 45        2          3654.41846
 45        3          8242.83496
 45        4         14704.98730
 45        5         23079.93750
 45        6         33418.91406
 45        7         45786.10938
 45        8         60259.70312
 45        9         76933.12500
 45       10         95916.62500
 45       11        117339.17969
 45       12        141350.81250
 45       13        168125.40625
 45       14        197864.09375
 45       15        230799.37500
 45       16        267200.18750
 45       17        307377.96875
 45       18        351694.28125
 45       19        400570.06250
 45       20        454497.21875
 45       21        514053.15625
 45       22        579919.00000
 45       23        652903.06250
 45       24        733970.68750
 45       25        824283.50000
 45       26        925250.56250
 45       27       1038597.18750
 45       28       1166457.37500
 45       29       1311501.87500
 45       30       1477116.00000
 45       31       1667655.62500
 45       32       1888819.62500
 45       33       2148209.50000
 45       34       2456194.00000
 45       35       2827292.25000
 45       36       3282480.00000
 45       37       3853223.75000
 45       38       4588975.00000
 45       39       5572156.50000
 45       40       6951134.00000
 45       41       9022645.00000
 45       42      12479083.00000
 45       43      19397638.00000
 45       44      40164276.00000
 46        1           912.23108
 46        2          3654.10742
 46        3          8241.25293
 46        4         14699.95215
 46        5         23067.53711
 46        6         33392.92188
 46        7         45737.33594
 46        8         60175.24609
 46        9         76795.51562
 46       10         95702.81250
 46       11        117019.35938
 46       12        140886.96875
 46       13        167469.60938
 46       14        196956.39062
 46       15        229565.29688
 46       16        265547.53125
 46       17        305192.96875
 46       18        348836.75000
 46       19        396867.31250
 46       20        449736.31250
